medcode,readterm,inducible,definite
1272,urticaria,0,1
1594,dermatographic urticaria,1,0
1869,other specified urticaria,1,0
6400,allergic urticaria,1,0
6678,contact urticaria,1,0
7244,hives,0,1
7651,cold urticaria,1,0
8948,idiopathic urticaria,0,1
9041,cholinergic urticaria,0,1
11883,nettle rash,0,1
15138,urticaria nos,0,1
15310,solar urticaria,1,0
16294,urticaria due to cold and heat,1,0
17710,heat urticaria,1,0
20919,vibratory urticaria,1,0
20986,urticaria geographica,0,1
23645,other specified urticaria nos,1,0
24845,physical urticaria,1,0
30016,thermal urticaria,1,0
38554,drug induced urticaria,1,0
43163,factitial urticaria,0,1
45386,urticaria due to cold and heat nos,1,0
49257,[x]other urticaria,0,1
50380,urticaria due to serum,1,0
50836,menstrual urticaria,1,0
51725,urticaria persistans,0,1
70628,[x]urticaria and erythema,0,1
78446,angioedema,0,0
